farm_id,zone_id,zone_name
farm_0001,2,Zone_3
farm_0002,2,Zone_3
farm_0003,2,Zone_3
farm_0004,2,Zone_3
farm_0005,2,Zone_3
farm_0006,2,Zone_3
farm_0007,2,Zone_3
farm_0008,2,Zone_3
farm_0009,2,Zone_3
farm_0010,2,Zone_3
farm_0011,2,Zone_3
farm_0012,2,Zone_3
farm_0013,2,Zone_3
farm_0014,2,Zone_3
farm_0015,2,Zone_3
farm_0016,2,Zone_3
farm_0017,2,Zone_3
farm_0018,2,Zone_3
farm_0019,0,Zone_1
farm_0020,2,Zone_3
farm_0021,2,Zone_3
farm_0022,2,Zone_3
farm_0023,2,Zone_3
farm_0024,2,Zone_3
farm_0025,2,Zone_3
farm_0026,2,Zone_3
farm_0027,2,Zone_3
farm_0028,2,Zone_3
farm_0029,2,Zone_3
farm_0030,2,Zone_3
farm_0031,0,Zone_1
farm_0032,0,Zone_1
farm_0033,0,Zone_1
farm_0034,0,Zone_1
farm_0035,0,Zone_1
farm_0036,2,Zone_3
farm_0037,0,Zone_1
farm_0038,0,Zone_1
farm_0039,0,Zone_1
farm_0040,0,Zone_1
farm_0041,2,Zone_3
farm_0042,0,Zone_1
farm_0043,0,Zone_1
farm_0044,0,Zone_1
farm_0045,0,Zone_1
farm_0046,0,Zone_1
farm_0047,0,Zone_1
farm_0048,0,Zone_1
farm_0049,0,Zone_1
farm_0050,0,Zone_1
farm_0051,0,Zone_1
farm_0052,0,Zone_1
farm_0053,0,Zone_1
farm_0054,2,Zone_3
farm_0055,0,Zone_1
farm_0056,0,Zone_1
farm_0057,0,Zone_1
farm_0058,0,Zone_1
farm_0059,0,Zone_1
farm_0060,0,Zone_1
farm_0061,0,Zone_1
farm_0062,0,Zone_1
farm_0063,0,Zone_1
farm_0064,0,Zone_1
farm_0065,0,Zone_1
farm_0066,0,Zone_1
farm_0067,0,Zone_1
farm_0068,0,Zone_1
farm_0069,0,Zone_1
farm_0070,0,Zone_1
farm_0071,0,Zone_1
farm_0072,0,Zone_1
farm_0073,0,Zone_1
farm_0074,0,Zone_1
farm_0075,0,Zone_1
farm_0076,0,Zone_1
farm_0077,0,Zone_1
farm_0078,0,Zone_1
farm_0079,0,Zone_1
farm_0080,0,Zone_1
farm_0081,0,Zone_1
farm_0082,0,Zone_1
farm_0083,0,Zone_1
farm_0084,0,Zone_1
farm_0085,0,Zone_1
farm_0086,0,Zone_1
farm_0087,1,Zone_2
farm_0088,0,Zone_1
farm_0089,0,Zone_1
farm_0090,0,Zone_1
farm_0091,0,Zone_1
farm_0092,0,Zone_1
farm_0093,0,Zone_1
farm_0094,0,Zone_1
farm_0095,1,Zone_2
farm_0096,0,Zone_1
farm_0097,0,Zone_1
farm_0098,0,Zone_1
farm_0099,0,Zone_1
farm_0100,0,Zone_1
farm_0101,1,Zone_2
farm_0102,0,Zone_1
farm_0103,0,Zone_1
farm_0104,0,Zone_1
farm_0105,0,Zone_1
farm_0106,0,Zone_1
farm_0107,0,Zone_1
farm_0108,0,Zone_1
farm_0109,0,Zone_1
farm_0110,0,Zone_1
farm_0111,1,Zone_2
farm_0112,0,Zone_1
farm_0113,0,Zone_1
farm_0114,0,Zone_1
farm_0115,0,Zone_1
farm_0116,0,Zone_1
farm_0117,0,Zone_1
farm_0118,0,Zone_1
farm_0119,0,Zone_1
farm_0120,0,Zone_1
farm_0121,0,Zone_1
farm_0122,0,Zone_1
farm_0123,0,Zone_1
farm_0124,0,Zone_1
farm_0125,0,Zone_1
farm_0126,0,Zone_1
farm_0127,0,Zone_1
farm_0128,0,Zone_1
farm_0129,0,Zone_1
farm_0130,0,Zone_1
farm_0131,1,Zone_2
farm_0132,1,Zone_2
farm_0133,1,Zone_2
farm_0134,1,Zone_2
farm_0135,1,Zone_2
farm_0136,1,Zone_2
farm_0137,1,Zone_2
farm_0138,1,Zone_2
farm_0139,1,Zone_2
farm_0140,1,Zone_2
farm_0141,1,Zone_2
farm_0142,1,Zone_2
farm_0143,1,Zone_2
farm_0144,1,Zone_2
farm_0145,1,Zone_2
farm_0146,1,Zone_2
farm_0147,1,Zone_2
farm_0148,1,Zone_2
farm_0149,1,Zone_2
farm_0150,1,Zone_2
farm_0151,1,Zone_2
farm_0152,1,Zone_2
farm_0153,0,Zone_1
farm_0154,1,Zone_2
farm_0155,1,Zone_2
farm_0156,1,Zone_2
farm_0157,1,Zone_2
farm_0158,1,Zone_2
farm_0159,1,Zone_2
farm_0160,1,Zone_2
farm_0161,1,Zone_2
farm_0162,1,Zone_2
farm_0163,1,Zone_2
farm_0164,1,Zone_2
farm_0165,1,Zone_2
farm_0166,1,Zone_2
farm_0167,1,Zone_2
farm_0168,1,Zone_2
farm_0169,1,Zone_2
farm_0170,1,Zone_2
farm_0171,1,Zone_2
farm_0172,1,Zone_2
farm_0173,1,Zone_2
farm_0174,1,Zone_2
farm_0175,1,Zone_2
farm_0176,1,Zone_2
farm_0177,1,Zone_2
farm_0178,1,Zone_2
farm_0179,1,Zone_2
farm_0180,1,Zone_2
farm_0181,1,Zone_2
farm_0182,1,Zone_2
farm_0183,1,Zone_2
farm_0184,1,Zone_2
farm_0185,1,Zone_2
farm_0186,1,Zone_2
farm_0187,1,Zone_2
farm_0188,1,Zone_2
farm_0189,1,Zone_2
farm_0190,1,Zone_2
