@id,system:index,feature_id,id,landuse,crop_Month_01,crop_Month_02,crop_Month_03,crop_Month_04,crop_Month_05,crop_Month_06,crop_Month_07,crop_Month_08,crop_Month_09,crop_Month_10,crop_Month_11,crop_Month_12,sum_Month_01,sum_Month_02,sum_Month_03,sum_Month_04,sum_Month_05,sum_Month_06,sum_Month_07,sum_Month_08,sum_Month_09,sum_Month_10,sum_Month_11,sum_Month_12
relation/11350773,252_00000000000000000001,00000000000000000001,relation/11350773,farmland,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relation/4720446,252_00000000000000000000,00000000000000000000,relation/4720446,farmland,Sisal,Sisal,Sisal,Sisal,Sisal,Sisal,Sisal,Sisal,Sisal,Sisal,Sisal,Sisal,20.9696942170461,64.42995002316493,56.707886359270894,153.15180893692315,97.93313178268134,0.7592603496476715,25.674938301011625,18.59551943423701,14.896119614675934,21.648896413690903,247.6296792423024,474.9571083966423
way/1097270983,252_000000000000000000a2,000000000000000000a2,way/1097270983,farmland,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097270984,252_000000000000000000a3,000000000000000000a3,way/1097270984,farmland,,,,,,,,,,,,,0.0471127491371304,0.0606596853218826,0.0784908275978237,0.2875168893851486,0.1871460708917356,0.0,0.038428856344784,0.0,0.0196559475917442,0.0909985729292327,0.3828510957605698,0.8487149706073835
way/1097270989,252_000000000000000000a4,000000000000000000a4,way/1097270989,farmland,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097270991,252_000000000000000000a5,000000000000000000a5,way/1097270991,farmland,,,,,,,,,,,,,0.0471127491371304,0.0606596853218826,0.0784908275978237,0.2875168893851486,0.1871460708917356,0.0,0.038428856344784,0.0,0.0196559475917442,0.0909985729292327,0.3828510957605698,0.8487149706073835
way/1097270992,252_000000000000000000a6,000000000000000000a6,way/1097270992,farmland,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097270993,252_000000000000000000a7,000000000000000000a7,way/1097270993,farmland,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275287,252_000000000000000000a8,000000000000000000a8,way/1097275287,farmland,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275288,252_000000000000000000a9,000000000000000000a9,way/1097275288,farmland,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
way/1097275295,252_000000000000000000aa,000000000000000000aa,way/1097275295,farmland,,,,,,,,,,,,,0.0446488174737668,0.0810982984655043,0.0879486831964231,0.2525135788263059,0.2294889263078278,0.0,0.0465339286654603,0.0,0.0,0.0819645171071968,0.4290227179433785,0.7972858952540978
way/1097275296,252_000000000000000000ab,000000000000000000ab,way/1097275296,farmland,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
